Animal,Experiment,Box,phase,subphase,subsubphase,component,freezing,motion
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,shock,,shock_3,0,12.08
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,bl,,bl,38.84,48.19
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,cs,,cs_1,88,6.88
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,cs,,cs_2,77.33,32.04
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,cs,,cs_3,96.67,2.35
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,postcs,,postcs_1,51.74,42.97
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,postcs,,postcs_2,37.1,30.23
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,postcs,,postcs_3,62.57,13.17
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,shock,,shock_1,100,0
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,shock,,shock_2,98.33,0.6
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,shock,,shock_3,100,0
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,bl,,bl,19.59,73.75
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,cs,,cs_1,77.22,46.79
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,cs,,cs_2,71.67,59.96
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,cs,,cs_3,75.33,33.78
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,postcs,,postcs_1,21.76,82.36
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,postcs,,postcs_2,31.02,76.61
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,postcs,,postcs_3,33.68,60.3
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,shock,,shock_1,100,0.03
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,shock,,shock_2,0,25.22
